regione,popolazione
Italia,59257566
Piemonte,4273210
Valle d'Aosta / Vallée d'Aoste,123895
Liguria,1509805
Lombardia,9966992
Provincia Autonoma Bolzano / Bozen,533715
Provincia Autonoma Trento,544745
Veneto,4852453
Friuli-Venezia Giulia,1198753
Emilia-Romagna,4445549
Toscana,3668333
Umbria,865013
Marche,1501406
Lazio,5720796
Abruzzo,1285256
Molise,296547
Campania,5679759
Puglia,3926931
Basilicata,547579
Calabria,1877728
Sicilia,4840876
Sardegna,1598225
