day0,n_cas,n_inf_median,n_inf_02p5,n_inf_05p0,n_inf_95p0,n_inf_97p5,det_rate_median,det_rate_02p5,det_rate_05p0,det_rate_95p0,det_rate_97p5
193,2.42639e+05,4.61830e+06,3.21961e+06,3.33886e+06,7.39838e+06,8.10279e+06,5.25471e-02,2.99451e-02,3.27962e-02,7.26712e-02,7.53629e-02
194,2.42827e+05,4.61955e+06,3.22042e+06,3.33973e+06,7.40033e+06,8.10479e+06,5.25740e-02,2.99609e-02,3.28130e-02,7.27086e-02,7.54024e-02
195,2.43061e+05,4.62082e+06,3.22123e+06,3.34062e+06,7.40231e+06,8.10681e+06,5.26105e-02,2.99823e-02,3.28358e-02,7.27593e-02,7.54560e-02
196,2.43230e+05,4.62207e+06,3.22205e+06,3.34152e+06,7.40418e+06,8.10886e+06,5.26326e-02,2.99956e-02,3.28504e-02,7.27902e-02,7.54892e-02
197,2.43344e+05,4.62330e+06,3.22290e+06,3.34245e+06,7.40609e+06,8.11096e+06,5.26424e-02,3.00019e-02,3.28573e-02,7.28040e-02,7.55048e-02
198,2.43506e+05,4.62457e+06,3.22376e+06,3.34341e+06,7.40806e+06,8.11313e+06,5.26622e-02,3.00138e-02,3.28704e-02,7.28316e-02,7.55348e-02
199,2.43736e+05,4.62588e+06,3.22465e+06,3.34440e+06,7.41009e+06,8.11536e+06,5.26962e-02,3.00339e-02,3.28924e-02,7.28788e-02,7.55852e-02
200,2.43967e+05,4.62724e+06,3.22558e+06,3.34543e+06,7.41220e+06,8.11768e+06,5.27299e-02,3.00538e-02,3.29142e-02,7.29256e-02,7.56351e-02
201,2.44216e+05,4.62865e+06,3.22654e+06,3.34648e+06,7.41439e+06,8.12009e+06,5.27669e-02,3.00755e-02,3.29381e-02,7.29769e-02,7.56899e-02
202,2.44434e+05,4.63011e+06,3.22753e+06,3.34758e+06,7.41667e+06,8.12259e+06,5.27966e-02,3.00931e-02,3.29574e-02,7.30182e-02,7.57341e-02
203,2.44624e+05,4.63162e+06,3.22856e+06,3.34870e+06,7.41905e+06,8.12520e+06,5.28198e-02,3.01068e-02,3.29724e-02,7.30504e-02,7.57687e-02
204,2.44752e+05,4.63319e+06,3.22963e+06,3.34986e+06,7.42151e+06,8.12790e+06,5.28291e-02,3.01126e-02,3.29787e-02,7.30633e-02,7.57833e-02
205,2.45032e+05,4.63481e+06,3.23074e+06,3.35105e+06,7.42407e+06,8.13071e+06,5.28708e-02,3.01366e-02,3.30051e-02,7.31209e-02,7.58440e-02
206,2.45338e+05,4.63648e+06,3.23188e+06,3.35227e+06,7.42672e+06,8.13362e+06,5.29176e-02,3.01635e-02,3.30345e-02,7.31856e-02,7.59118e-02
207,2.45590e+05,4.63819e+06,3.23306e+06,3.35351e+06,7.42945e+06,8.13661e+06,5.29524e-02,3.01833e-02,3.30563e-02,7.32336e-02,7.59621e-02
208,2.45864e+05,4.63994e+06,3.23427e+06,3.35477e+06,7.43226e+06,8.13969e+06,5.29917e-02,3.02056e-02,3.30807e-02,7.32878e-02,7.60185e-02
209,2.46118e+05,4.64173e+06,3.23550e+06,3.35604e+06,7.43513e+06,8.14283e+06,5.30265e-02,3.02251e-02,3.31020e-02,7.33357e-02,7.60680e-02
210,2.46286e+05,4.64353e+06,3.23675e+06,3.35732e+06,7.43805e+06,8.14603e+06,5.30428e-02,3.02339e-02,3.31116e-02,7.33579e-02,7.60905e-02
211,2.46488e+05,4.64534e+06,3.23801e+06,3.35859e+06,7.44100e+06,8.14925e+06,5.30664e-02,3.02467e-02,3.31257e-02,7.33903e-02,7.61232e-02
212,2.46776e+05,4.64714e+06,3.23928e+06,3.35985e+06,7.44395e+06,8.15248e+06,5.31088e-02,3.02700e-02,3.31512e-02,7.34485e-02,7.61824e-02
213,2.47158e+05,4.64893e+06,3.24054e+06,3.36108e+06,7.44689e+06,8.15569e+06,5.31717e-02,3.03050e-02,3.31894e-02,7.35352e-02,7.62706e-02
214,2.47537e+05,4.65067e+06,3.24178e+06,3.36229e+06,7.44978e+06,8.15885e+06,5.32345e-02,3.03397e-02,3.32274e-02,7.36216e-02,7.63583e-02
215,2.47832e+05,4.65231e+06,3.24299e+06,3.36345e+06,7.45259e+06,8.16192e+06,5.32797e-02,3.03644e-02,3.32545e-02,7.36839e-02,7.64208e-02
216,2.48070e+05,4.65378e+06,3.24416e+06,3.36456e+06,7.45530e+06,8.16487e+06,5.33135e-02,3.03826e-02,3.32743e-02,7.37302e-02,7.64665e-02
217,2.48229e+05,4.65519e+06,3.24528e+06,3.36562e+06,7.45761e+06,8.16768e+06,5.33311e-02,3.03916e-02,3.32853e-02,7.37543e-02,7.64892e-02
218,2.48419e+05,4.65652e+06,3.24634e+06,3.36662e+06,7.45989e+06,8.17033e+06,5.33562e-02,3.04050e-02,3.33006e-02,7.37888e-02,7.65227e-02
219,2.48803e+05,4.65778e+06,3.24734e+06,3.36756e+06,7.46223e+06,8.17280e+06,5.34238e-02,3.04428e-02,3.33416e-02,7.38822e-02,7.66176e-02
220,2.49204e+05,4.65898e+06,3.24826e+06,3.36845e+06,7.46439e+06,8.17509e+06,5.34958e-02,3.04833e-02,3.33857e-02,7.39818e-02,7.67192e-02
221,2.49756e+05,4.66012e+06,3.24912e+06,3.36929e+06,7.46639e+06,8.17721e+06,5.36000e-02,3.05429e-02,3.34507e-02,7.41273e-02,7.68688e-02
222,2.50103e+05,4.66123e+06,3.24993e+06,3.37009e+06,7.46823e+06,8.17920e+06,5.36613e-02,3.05779e-02,3.34889e-02,7.42126e-02,7.69565e-02
223,2.50566e+05,4.66230e+06,3.25069e+06,3.37086e+06,7.46995e+06,8.18108e+06,5.37482e-02,3.06275e-02,3.35432e-02,7.43329e-02,7.70809e-02
224,2.50825e+05,4.66337e+06,3.25142e+06,3.37162e+06,7.47160e+06,8.18289e+06,5.37918e-02,3.06524e-02,3.35705e-02,7.43930e-02,7.71433e-02
225,2.51237e+05,4.66444e+06,3.25213e+06,3.37238e+06,7.47321e+06,8.18467e+06,5.38685e-02,3.06960e-02,3.36184e-02,7.44984e-02,7.72530e-02
226,2.51713e+05,4.66552e+06,3.25285e+06,3.37315e+06,7.47482e+06,8.18646e+06,5.39589e-02,3.07475e-02,3.36748e-02,7.46226e-02,7.73824e-02
227,2.52235e+05,4.66662e+06,3.25357e+06,3.37393e+06,7.47646e+06,8.18829e+06,5.40582e-02,3.08044e-02,3.37372e-02,7.47600e-02,7.75256e-02
228,2.52809e+05,4.66775e+06,3.25431e+06,3.37473e+06,7.47814e+06,8.19016e+06,5.41683e-02,3.08674e-02,3.38064e-02,7.49124e-02,7.76843e-02
229,2.53438e+05,4.66890e+06,3.25508e+06,3.37555e+06,7.47987e+06,8.19208e+06,5.42899e-02,3.09370e-02,3.38827e-02,7.50805e-02,7.78593e-02
230,2.53915e+05,4.67008e+06,3.25586e+06,3.37639e+06,7.48164e+06,8.19405e+06,5.43785e-02,3.09877e-02,3.39384e-02,7.52032e-02,7.79872e-02
231,2.54235e+05,4.67128e+06,3.25666e+06,3.37725e+06,7.48346e+06,8.19607e+06,5.44331e-02,3.10191e-02,3.39729e-02,7.52788e-02,7.80663e-02
232,2.54636e+05,4.67251e+06,3.25748e+06,3.37812e+06,7.48533e+06,8.19815e+06,5.45048e-02,3.10602e-02,3.40180e-02,7.53780e-02,7.81697e-02
233,2.55278e+05,4.67376e+06,3.25832e+06,3.37902e+06,7.48732e+06,8.20027e+06,5.46277e-02,3.11304e-02,3.40947e-02,7.55480e-02,7.83466e-02
234,2.56118e+05,4.67504e+06,3.25918e+06,3.37993e+06,7.48936e+06,8.20245e+06,5.47926e-02,3.12246e-02,3.41976e-02,7.57760e-02,7.85836e-02
235,2.57065e+05,4.67633e+06,3.26006e+06,3.38087e+06,7.49143e+06,8.20468e+06,5.49800e-02,3.13315e-02,3.43146e-02,7.60353e-02,7.88529e-02
236,2.58136e+05,4.67765e+06,3.26096e+06,3.38181e+06,7.49353e+06,8.20696e+06,5.51936e-02,3.14533e-02,3.44478e-02,7.63307e-02,7.91596e-02
237,2.59345e+05,4.67898e+06,3.26187e+06,3.38277e+06,7.49566e+06,8.20927e+06,5.54364e-02,3.15917e-02,3.45993e-02,7.66664e-02,7.95080e-02
238,2.60298e+05,4.68033e+06,3.26280e+06,3.38375e+06,7.49782e+06,8.21162e+06,5.56241e-02,3.16987e-02,3.47165e-02,7.69260e-02,7.97774e-02
239,2.61174e+05,4.68169e+06,3.26374e+06,3.38473e+06,7.49999e+06,8.21400e+06,5.57951e-02,3.17962e-02,3.48232e-02,7.71625e-02,8.00228e-02
240,2.62540e+05,4.68305e+06,3.26469e+06,3.38571e+06,7.50218e+06,8.21639e+06,5.60706e-02,3.19532e-02,3.49952e-02,7.75435e-02,8.04180e-02
241,2.63949e+05,4.68441e+06,3.26565e+06,3.38670e+06,7.50436e+06,8.21880e+06,5.63551e-02,3.21153e-02,3.51727e-02,7.79369e-02,8.08259e-02
242,2.65409e+05,4.68577e+06,3.26660e+06,3.38769e+06,7.50654e+06,8.22120e+06,5.66504e-02,3.22835e-02,3.53570e-02,7.83452e-02,8.12493e-02
243,2.66853e+05,4.68713e+06,3.26755e+06,3.38867e+06,7.50872e+06,8.22359e+06,5.69421e-02,3.24497e-02,3.55391e-02,7.87487e-02,8.16675e-02
244,2.68218e+05,4.68848e+06,3.26850e+06,3.38964e+06,7.51088e+06,8.22597e+06,5.72169e-02,3.26063e-02,3.57106e-02,7.91287e-02,8.20615e-02
245,2.69214e+05,4.68982e+06,3.26944e+06,3.39061e+06,7.51303e+06,8.22833e+06,5.74129e-02,3.27179e-02,3.58330e-02,7.93998e-02,8.23425e-02
246,2.70189e+05,4.69114e+06,3.27037e+06,3.39158e+06,7.51516e+06,8.23067e+06,5.76045e-02,3.28271e-02,3.59525e-02,7.96647e-02,8.26171e-02
247,2.71515e+05,4.69247e+06,3.27130e+06,3.39253e+06,7.51728e+06,8.23300e+06,5.78709e-02,3.29789e-02,3.61188e-02,8.00331e-02,8.29991e-02
248,2.72912e+05,4.69378e+06,3.27222e+06,3.39348e+06,7.51938e+06,8.23531e+06,5.81523e-02,3.31393e-02,3.62945e-02,8.04224e-02,8.34027e-02
249,2.74644e+05,4.69510e+06,3.27313e+06,3.39443e+06,7.52149e+06,8.23761e+06,5.85050e-02,3.33403e-02,3.65146e-02,8.09101e-02,8.39086e-02
250,2.76338e+05,4.69642e+06,3.27405e+06,3.39538e+06,7.52360e+06,8.23991e+06,5.88494e-02,3.35365e-02,3.67295e-02,8.13864e-02,8.44026e-02
251,2.77634e+05,4.69775e+06,3.27497e+06,3.39635e+06,7.52573e+06,8.24223e+06,5.91086e-02,3.36843e-02,3.68913e-02,8.17449e-02,8.47746e-02
252,2.78784e+05,4.69912e+06,3.27591e+06,3.39734e+06,7.52793e+06,8.24462e+06,5.93362e-02,3.38140e-02,3.70333e-02,8.20595e-02,8.51013e-02
253,2.80153e+05,4.70058e+06,3.27689e+06,3.39839e+06,7.53026e+06,8.24715e+06,5.96092e-02,3.39697e-02,3.72036e-02,8.24370e-02,8.54935e-02
254,2.81583e+05,4.70220e+06,3.27798e+06,3.39956e+06,7.53286e+06,8.24996e+06,5.98930e-02,3.41315e-02,3.73806e-02,8.28293e-02,8.59014e-02
255,2.83180e+05,4.70416e+06,3.27928e+06,3.40097e+06,7.53599e+06,8.25335e+06,6.02079e-02,3.43109e-02,3.75770e-02,8.32646e-02,8.63543e-02
256,2.84796e+05,4.70691e+06,3.28109e+06,3.40296e+06,7.54040e+06,8.25813e+06,6.05164e-02,3.44867e-02,3.77693e-02,8.36908e-02,8.67992e-02
257,2.86297e+05,4.71246e+06,3.28474e+06,3.40698e+06,7.54932e+06,8.26785e+06,6.07645e-02,3.46278e-02,3.79236e-02,8.40325e-02,8.71597e-02
258,2.87753e+05,-1.00000e+34,-1.00000e+34,-1.00000e+34,-1.00000e+34,-1.00000e+34,-1.00000e+34,-1.00000e+34,-1.00000e+34,-1.00000e+34,-1.00000e+34
