kernel,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_criterion,param_learning_rate,param_loss,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.5_friedman_mse_0.30000000000000004_quantile_4_5_250,1.1673214435577393,0.041379162849606216,0.0015883445739746094,0.00019506117612462184,0.5,friedman_mse,0.30000000000000004,quantile,4,5,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.30000000000000004, 'loss': 'quantile', 'max_depth': 4, 'min_samples_split': 5, 'n_estimators': 250}",-0.7552874507604435,0.8308153663713762,-1.4965910404320004,-0.4736877082736892,0.9707999989128574,14
0.5_friedman_mse_0.5_quantile_3_2_100,0.3574865659077962,0.0036404745960548737,0.0010306835174560547,1.5083940396777215e-05,0.5,friedman_mse,0.5,quantile,3,2,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",-0.12141434558298658,0.8430446075653699,-2.2150267077109276,-0.4977988152428481,1.276505384263296,15
0.5_friedman_mse_0.25_quantile_4_15_100,0.4445783297220866,0.007626144713755545,0.0010229746500651042,6.0968789304380674e-05,0.5,friedman_mse,0.25,quantile,4,15,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.25, 'loss': 'quantile', 'max_depth': 4, 'min_samples_split': 15, 'n_estimators': 100}",-0.599795113004506,0.8474625858908398,-1.7411105030505092,-0.49781434338805847,1.0592380019701306,16
0.5_friedman_mse_0.5_quantile_3_4_100,0.3633086681365967,0.004162082757057527,0.0010300477345784504,6.439430371491783e-05,0.5,friedman_mse,0.5,quantile,3,4,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 100}",0.20668565024054686,0.7994437927494595,-2.5269753479390213,-0.5069486349830049,1.448728521766488,17
0.5_friedman_mse_0.5_quantile_2_6_250,0.645175059636434,0.0029678225614927873,0.0012500286102294922,3.81325654798106e-05,0.5,friedman_mse,0.5,quantile,2,6,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 6, 'n_estimators': 250}",-0.10785331136568033,0.8600207161311995,-2.2892879982962793,-0.5123735311769201,1.3171342125663872,18
0.5_friedman_mse_0.5_quantile_3_14_250,0.868667999903361,0.01660965088015558,0.0014020601908365886,9.690717298026616e-05,0.5,friedman_mse,0.5,quantile,3,14,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 14, 'n_estimators': 250}",0.3546066538574526,0.663742205318403,-2.6208458569489412,-0.5341656659243619,1.4808931678787745,19
0.5_friedman_mse_0.45_quantile_2_11_500,1.2766172885894775,0.011499388102111941,0.0016344388326009114,2.4049438059407802e-05,0.5,friedman_mse,0.45,quantile,2,11,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.45, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 11, 'n_estimators': 500}",-2.0414995850607367,0.8994383563495328,-0.47101716918395864,-0.5376927992983874,1.201558217078969,20
0.5_friedman_mse_0.1_quantile_3_11_500,1.7792258262634277,0.03208756994913784,0.0018059412638346355,5.767901229850492e-05,0.5,friedman_mse,0.1,quantile,3,11,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 11, 'n_estimators': 500}",-0.6889355912116839,0.8709790518585848,-1.8351546306912927,-0.551037056681464,1.1090692438036882,21
0.5_friedman_mse_0.25_quantile_2_17_500,1.2373932997385662,0.026244401449362954,0.001714944839477539,4.254819859734386e-05,0.5,friedman_mse,0.25,quantile,2,17,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.25, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 17, 'n_estimators': 500}",-0.15326392222998408,0.9054827069755462,-2.4503012052759297,-0.5660274735101225,1.4007383120770034,22
0.5_friedman_mse_0.45_quantile_2_18_250,0.6353159745534261,0.011997890331184018,0.0011936028798421223,5.716557431327124e-05,0.5,friedman_mse,0.45,quantile,2,18,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.45, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 18, 'n_estimators': 250}",-0.1848555480291858,0.9069743957107299,-2.4319468664728117,-0.5699426729304226,1.3900402557933011,23
0.5_friedman_mse_0.45_quantile_5_15_250,1.3859153588612874,0.036515727529816654,0.0014905929565429688,5.382172907626947e-05,0.5,friedman_mse,0.45,quantile,5,15,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.45, 'loss': 'quantile', 'max_depth': 5, 'min_samples_split': 15, 'n_estimators': 250}",-2.0410687265851806,0.6937534948428004,-0.44314913314388193,-0.5968214549620874,1.12176186794816,24
0.5_friedman_mse_0.25_quantile_5_5_500,2.899221340815226,0.06434569288759555,0.0023102760314941406,2.5581621010760747e-05,0.5,friedman_mse,0.25,quantile,5,5,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.25, 'loss': 'quantile', 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 500}",-0.20408657617714887,0.7514793239516921,-2.347470837544845,-0.6000260299234339,1.2957492206273387,25
0.5_friedman_mse_0.25_quantile_3_3_100,0.35680635770161945,0.009571165430667022,0.0010073184967041016,3.0458537250185876e-05,0.5,friedman_mse,0.25,quantile,3,3,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.25, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 3, 'n_estimators': 100}",-1.4557680616004758,0.8619274713917854,-1.2082207123490498,-0.6006871008525801,1.0391506027317143,26
0.5_friedman_mse_0.15000000000000002_quantile_4_4_500,2.388455549875895,0.06546070551391896,0.002266486485799154,0.00010042024007062056,0.5,friedman_mse,0.15000000000000002,quantile,4,4,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.15000000000000002, 'loss': 'quantile', 'max_depth': 4, 'min_samples_split': 4, 'n_estimators': 500}",-1.4269564972420081,0.8355760938530638,-1.210839844183678,-0.6007400825242075,1.019454011002802,27
0.5_friedman_mse_0.25_quantile_8_17_250,1.9588709672292073,0.04730950895591673,0.0018194516499837239,0.00011191059846573747,0.5,friedman_mse,0.25,quantile,8,17,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.25, 'loss': 'quantile', 'max_depth': 8, 'min_samples_split': 17, 'n_estimators': 250}",-0.26662676972083754,0.7998001316910471,-2.3514089367600493,-0.6060785249299466,1.3086762443675708,28
0.5_friedman_mse_0.45_quantile_2_4_100,0.26117785771687824,0.007873317200487796,0.0009222030639648438,1.877309769156411e-05,0.5,friedman_mse,0.45,quantile,2,4,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.45, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 4, 'n_estimators': 100}",-2.4168585531204068,0.8863151806803544,-0.3031754679230385,-0.6112396134543636,1.365995807030967,29
0.5_friedman_mse_0.30000000000000004_quantile_8_18_100,0.7692226568857828,0.035378813792841364,0.0011704762776692708,7.168046639565966e-05,0.5,friedman_mse,0.30000000000000004,quantile,8,18,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.30000000000000004, 'loss': 'quantile', 'max_depth': 8, 'min_samples_split': 18, 'n_estimators': 100}",-1.2762558930125687,0.8633540978029025,-1.4308373166986268,-0.6145797039694311,1.0469607111231125,30
0.5_friedman_mse_0.25_quantile_3_14_250,0.8818020025889078,0.024741891287848337,0.0013384024302164714,8.036588560871825e-06,0.5,friedman_mse,0.25,quantile,3,14,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.25, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 14, 'n_estimators': 250}",-1.471563056005218,0.8145487873693324,-1.2099716327681937,-0.6223286338013597,1.0216229117700903,31
0.5_friedman_mse_0.5_quantile_3_19_500,1.6916951338450115,0.023054394237953652,0.0018742879231770833,6.462516771670418e-05,0.5,friedman_mse,0.5,quantile,3,19,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 19, 'n_estimators': 500}",0.14617135189251307,0.8243342058982241,-2.8666116927971483,-0.6320353783354703,1.6041559967790218,32
0.5_friedman_mse_0.5_quantile_3_9_250,0.8794476191202799,0.024338880467586272,0.001390377680460612,0.00011017386488719843,0.5,friedman_mse,0.5,quantile,3,9,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 9, 'n_estimators': 250}",-0.5007617409614824,0.8699712515757332,-2.275844569269826,-0.6355450195518585,1.2878054184829926,33
0.5_friedman_mse_0.35000000000000003_quantile_3_12_250,0.8713434537251791,0.01603929839230794,0.0013515949249267578,5.1855903932236914e-05,0.5,friedman_mse,0.35000000000000003,quantile,3,12,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.35000000000000003, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 12, 'n_estimators': 250}",0.13454800621682028,0.8990348138098999,-2.9426841112735893,-0.6363670970822897,1.6604083126763665,34
0.5_friedman_mse_0.4_quantile_2_20_250,0.6231993834177653,0.002231300717768729,0.0012940565745035808,8.339251936791008e-05,0.5,friedman_mse,0.4,quantile,2,20,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.4, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 20, 'n_estimators': 250}",-0.119818919704062,0.8618079950878386,-2.651361492860639,-0.6364574724922875,1.4800397536177592,35
0.5_friedman_mse_0.25_quantile_3_17_250,0.8685880502065023,0.010686198262681386,0.0013518333435058594,3.9552102126966785e-05,0.5,friedman_mse,0.25,quantile,3,17,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.25, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 17, 'n_estimators': 250}",-1.8317539699772811,0.8247573058157496,-0.9040708810964222,-0.6370225150859846,1.1008327641519131,36
0.5_friedman_mse_0.45_quantile_2_3_100,0.2608559926350911,0.006323369480435023,0.0009665489196777344,2.9948511789376156e-05,0.5,friedman_mse,0.45,quantile,2,3,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.45, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 3, 'n_estimators': 100}",-2.1336119557006734,0.8419152121071654,-0.6344983038982837,-0.6420650158305973,1.2147656627069368,37
0.5_friedman_mse_0.5_quantile_2_9_500,1.3043180306752522,0.002265101432143376,0.0016523202260335286,3.3349827065540046e-05,0.5,friedman_mse,0.5,quantile,2,9,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 9, 'n_estimators': 500}",-0.06283909622991946,0.8188449639522192,-2.738099081220975,-0.6606977378328917,1.5124018318837038,38
0.5_friedman_mse_0.45_quantile_2_10_250,0.6443748474121094,0.007646156630760766,0.0013001759847005208,1.617775424173634e-05,0.5,friedman_mse,0.45,quantile,2,10,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.45, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 10, 'n_estimators': 250}",-1.6466194236378704,0.8545604349752847,-1.2160714947343325,-0.6693768277989728,1.0918276620494962,39
0.5_friedman_mse_0.25_quantile_5_2_250,1.4895559946695964,0.03034796210393455,0.0016047159830729167,0.00013180419842198011,0.5,friedman_mse,0.25,quantile,5,2,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.25, 'loss': 'quantile', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 250}",-0.8619021840988643,0.8080163780406443,-1.9750375608080404,-0.6763077889554201,1.1437311065883713,40
0.5_friedman_mse_0.2_quantile_2_11_500,1.2918815612792969,0.007184451922308779,0.0017873446146647136,0.0002395191487025708,0.5,friedman_mse,0.2,quantile,2,11,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.2, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 11, 'n_estimators': 500}",-0.8667023456194947,0.8566888371054634,-2.0499603856940376,-0.6866579647360229,1.1934444297678939,41
0.5_friedman_mse_0.30000000000000004_quantile_2_7_250,0.6493816375732422,0.018278083628857102,0.0012923876444498699,2.1080241576226804e-05,0.5,friedman_mse,0.30000000000000004,quantile,2,7,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.30000000000000004, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 7, 'n_estimators': 250}",-0.4586464256653362,0.8198920466954718,-2.435567430563015,-0.6914406031776265,1.3391910366164448,42
0.5_friedman_mse_0.5_quantile_2_17_100,0.2512056827545166,0.0027620903074459563,0.0010174910227457683,9.854301323946304e-05,0.5,friedman_mse,0.5,quantile,2,17,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 17, 'n_estimators': 100}",0.0362187204339246,0.8909775833925636,-3.0066041750223125,-0.6931359570652748,1.6726734240081196,43
0.5_friedman_mse_0.30000000000000004_quantile_8_12_100,0.8231972853342692,0.025128421150904374,0.0013602574666341145,0.00028238593714069487,0.5,friedman_mse,0.30000000000000004,quantile,8,12,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.30000000000000004, 'loss': 'quantile', 'max_depth': 8, 'min_samples_split': 12, 'n_estimators': 100}",-0.8475020477217188,0.8151160858992681,-2.047641087634476,-0.6933423498189756,1.1737883307189099,44
0.5_friedman_mse_0.5_quantile_3_16_250,0.8557776610056559,0.009922623323001168,0.002140601476033529,0.0010838108670263222,0.5,friedman_mse,0.5,quantile,3,16,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 16, 'n_estimators': 250}",-0.03018291679202756,0.7286909376157846,-2.779539191333705,-0.6936770568366493,1.50711380123785,45
0.5_friedman_mse_0.1_quantile_3_2_100,0.370391050974528,0.0071801129987055495,0.001012563705444336,6.715113350785807e-05,0.5,friedman_mse,0.1,quantile,3,2,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",-0.6964098822150742,0.8728611724221312,-2.258185009345266,-0.6939112397127363,1.2782454721220582,46
0.5_friedman_mse_0.15000000000000002_quantile_2_19_100,0.25156259536743164,0.009636309095426857,0.0009656747182210287,4.382681428977167e-05,0.5,friedman_mse,0.15000000000000002,quantile,2,19,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.15000000000000002, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 19, 'n_estimators': 100}",-1.46981054292158,0.8476522956492981,-1.4654158619183701,-0.695858036396884,1.091428097236297,47
0.5_friedman_mse_0.45_quantile_2_13_100,0.26024587949117023,0.011380001506463108,0.0009454091389973959,1.0244295148418439e-05,0.5,friedman_mse,0.45,quantile,2,13,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.45, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 13, 'n_estimators': 100}",-1.4681287307284174,0.8672831711836622,-1.493347429601671,-0.6980643297154755,1.1069157133288865,48
0.5_friedman_mse_0.35000000000000003_quantile_3_16_100,0.35394740104675293,0.00529188376701326,0.0010399023691813152,2.527561806645274e-05,0.5,friedman_mse,0.35000000000000003,quantile,3,16,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.35000000000000003, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 16, 'n_estimators': 100}",0.26539316300582916,0.8129573001612858,-3.181222963132824,-0.7009574999885698,1.768001545403611,49
0.5_friedman_mse_0.5_quantile_3_4_250,0.8967045148213705,0.01845948283419806,0.0013410250345865886,9.888084615557757e-05,0.5,friedman_mse,0.5,quantile,3,4,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 250}",0.09834016144714097,0.7565696581666468,-3.0061154192644794,-0.7170685332168972,1.6407555683243422,50
0.5_friedman_mse_0.30000000000000004_quantile_5_4_500,2.9497273763020835,0.08425238308260662,0.0025459925333658853,0.00023253185645842064,0.5,friedman_mse,0.30000000000000004,quantile,5,4,500,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.30000000000000004, 'loss': 'quantile', 'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 500}",-1.095897134915123,0.8501073538103647,-1.9138751999890324,-0.7198883270312635,1.1592919842534752,51
0.5_friedman_mse_0.5_quantile_3_6_250,0.9108066558837891,0.02573018488258405,0.0013363361358642578,2.4429083216799936e-05,0.5,friedman_mse,0.5,quantile,3,6,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.5, 'loss': 'quantile', 'max_depth': 3, 'min_samples_split': 6, 'n_estimators': 250}",-0.25782859909984723,0.8530029642674166,-2.7585089183981713,-0.7211115177435339,1.5103482637433758,52
0.5_friedman_mse_0.30000000000000004_quantile_4_15_100,0.4424904187520345,0.01499823850261572,0.001072247823079427,5.864170866275021e-05,0.5,friedman_mse,0.30000000000000004,quantile,4,15,100,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.30000000000000004, 'loss': 'quantile', 'max_depth': 4, 'min_samples_split': 15, 'n_estimators': 100}",-1.5348625389415593,0.8112738669017658,-1.445769185208294,-0.7231192857493625,1.0855892920734684,53
0.5_friedman_mse_0.25_quantile_4_14_250,1.119325319925944,0.040375270558276964,0.0014220078786214192,8.927692563511534e-05,0.5,friedman_mse,0.25,quantile,4,14,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.25, 'loss': 'quantile', 'max_depth': 4, 'min_samples_split': 14, 'n_estimators': 250}",-0.24852939718984723,0.7834113818671369,-2.7155151100157076,-0.7268777084461394,1.4679315331584115,54
0.5_friedman_mse_0.35000000000000003_quantile_2_19_250,0.6230977376302084,0.009025082894817692,0.0012709299723307292,7.703449862554386e-05,0.5,friedman_mse,0.35000000000000003,quantile,2,19,250,"{'alpha': 0.5, 'criterion': 'friedman_mse', 'learning_rate': 0.35000000000000003, 'loss': 'quantile', 'max_depth': 2, 'min_samples_split': 19, 'n_estimators': 250}",0.0124234599391988,0.8798855379825501,-3.078010734679233,-0.7285672455858281,1.6986339895228295,55
