"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y56","56 anni","99","totale","2020","2020",927825,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y57","57 anni","99","totale","2020","2020",895469,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y58","58 anni","99","totale","2020","2020",876379,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y59","59 anni","99","totale","2020","2020",847647,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y60","60 anni","99","totale","2020","2020",825539,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y61","61 anni","99","totale","2020","2020",787331,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y62","62 anni","99","totale","2020","2020",777491,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y63","63 anni","99","totale","2020","2020",759731,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y64","64 anni","99","totale","2020","2020",743258,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y65","65 anni","99","totale","2020","2020",729584,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y66","66 anni","99","totale","2020","2020",693488,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y67","67 anni","99","totale","2020","2020",679502,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y68","68 anni","99","totale","2020","2020",673956,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y69","69 anni","99","totale","2020","2020",694484,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y70","70 anni","99","totale","2020","2020",694140,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y71","71 anni","99","totale","2020","2020",718819,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y72","72 anni","99","totale","2020","2020",696577,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y73","73 anni","99","totale","2020","2020",689079,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y74","74 anni","99","totale","2020","2020",525745,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y75","75 anni","99","totale","2020","2020",533883,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y76","76 anni","99","totale","2020","2020",530624,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y77","77 anni","99","totale","2020","2020",518346,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y78","78 anni","99","totale","2020","2020",511316,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y79","79 anni","99","totale","2020","2020",549844,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y80","80 anni","99","totale","2020","2020",526084,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y81","81 anni","99","totale","2020","2020",493871,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y82","82 anni","99","totale","2020","2020",439070,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y83","83 anni","99","totale","2020","2020",392934,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y84","84 anni","99","totale","2020","2020",379577,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y85","85 anni","99","totale","2020","2020",344257,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y86","86 anni","99","totale","2020","2020",308797,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y87","87 anni","99","totale","2020","2020",273406,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y88","88 anni","99","totale","2020","2020",245503,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y89","89 anni","99","totale","2020","2020",224661,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y90","90 anni","99","totale","2020","2020",178020,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y91","91 anni","99","totale","2020","2020",148233,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y92","92 anni","99","totale","2020","2020",121373,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y93","93 anni","99","totale","2020","2020",95283,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y94","94 anni","99","totale","2020","2020",73451,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y95","95 anni","99","totale","2020","2020",55649,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y96","96 anni","99","totale","2020","2020",41447,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y97","97 anni","99","totale","2020","2020",29302,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y98","98 anni","99","totale","2020","2020",20560,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y99","99 anni","99","totale","2020","2020",13421,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","Y_GE100","100 anni e più","99","totale","2020","2020",14804,,
"IT","Italia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2020","2020",59641488,,
