"","Mean","Median","Mode","ESS","HDImass1","HDIlow1","HDIhigh1","HDImass2","HDIlow2","HDIhigh2"
"theta_omega",0.000717479733321002,0.000718281034116209,0.000718280370935257,3524.8,0.5,0.000521475169931531,0.000870979815257668,0.95,0.000188259446503301,0.00120343339474403
"theta_sigma",0.00941442865278077,0.0094099751864221,0.00937784815888332,3269.4,0.5,0.00921721807427731,0.00955446881408402,0.95,0.00895160440656544,0.00992514349963711
