"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITE3","Marche","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",5041,"p","dato provvisorio"
"ITE3","Marche","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",4588,"p","dato provvisorio"
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",9629,"p","dato provvisorio"
"ITE4","Lazio","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",20105,"p","dato provvisorio"
"ITE4","Lazio","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",18845,"p","dato provvisorio"
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",38950,"p","dato provvisorio"
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",4287,"p","dato provvisorio"
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",4142,"p","dato provvisorio"
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",8429,"p","dato provvisorio"
"ITF2","Molise","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",983,"p","dato provvisorio"
"ITF2","Molise","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",909,"p","dato provvisorio"
"ITF2","Molise","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",1892,"p","dato provvisorio"
"ITF3","Campania","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",23826,"p","dato provvisorio"
"ITF3","Campania","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",22703,"p","dato provvisorio"
"ITF3","Campania","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",46529,"p","dato provvisorio"
"ITF4","Puglia","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",14085,"p","dato provvisorio"
"ITF4","Puglia","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",13297,"p","dato provvisorio"
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",27382,"p","dato provvisorio"
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",1921,"p","dato provvisorio"
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",1718,"p","dato provvisorio"
"ITF5","Basilicata","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",3639,"p","dato provvisorio"
"ITF6","Calabria","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",7354,"p","dato provvisorio"
"ITF6","Calabria","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",7016,"p","dato provvisorio"
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",14370,"p","dato provvisorio"
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",19787,"p","dato provvisorio"
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",18507,"p","dato provvisorio"
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",38294,"p","dato provvisorio"
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","1","maschi","Y0","0 anni","99","totale","2020","2020",4468,"p","dato provvisorio"
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","2","femmine","Y0","0 anni","99","totale","2020","2020",4324,"p","dato provvisorio"
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y0","0 anni","99","totale","2020","2020",8792,"p","dato provvisorio"
"ITF3","Campania","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",23055,"p","dato provvisorio"
"ITF1","Abruzzo","JAN","popolazione al 1º gennaio","2","femmine","Y1","1 anni","99","totale","2020","2020",4360,"p","dato provvisorio"
