0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
14,0
62,2
53,0
97,4
93,5
78,1
250,5
238,4
240,8
561,6
347,17
466,28
587,27
769,41
778,49
1247,36
1492,133
1797,98
977,167
2313,196
2651,189
2547,252
3497,173
2823,370
4000,347
3526,347
4207,473
5322,429
5986,625
6557,795
5560,649
4789,601
5249,743
5210,685
6153,660
5959,971
5974,887
5217,758
4050,810
4053,839
4782,727
4668,760
4585,764
4805,681
4316,527
3599,636
3039,604
3836,540
4204,612
3951,570
4694,619
4092,431
3153,564
2972,604
2667,578
3786,525
3493,575
3491,480
3047,433
2256,454
2729,534
3370,437
2646,464
3021,420
2357,415
2324,260
1739,333
2091,382
2086,323
1872,285
1965,269
1900,474
1389,174
1221,195
1075,236
1444,369
1401,274
1327,243
1083,194
802,165
744,179
1402,172
888,195
992,262
789,242
875,153
675,145
451,99
813,162
665,161
642,156
652,130
669,119
531,50
300,92
397,78
584,117
593,70
516,87
416,111
355,75
178,60
318,55
321,71
177,88
518,85
270,72
197,53
280,65
283,79
202,71
379,53
163,56
346,78
338,44
301,26
210,34
328,43
331,66
-148,47
264,49
224,24
221,23
113,18
577,-31
296,34
255,30
175,8
174,22
126,6
142,23
182,21
201,30
223,15
235,21
192,7
208,8
137,30
193,15
214,12
276,12
188,7
234,9
169,13
114,17
162,13
230,20
231,11
249,14
218,3
190,13
128,15
280,9
306,10
252,5
274,5
254,5
168,5
202,11
288,6
382,3
379,9
295,5
238,8
159,12
190,5
384,10
401,6
552,3
347,13
463,2
259,4
412,6
476,10
522,6
574,3
629,158
477,4
320,4
401,5
642,7
840,6
947,9
1071,3
1209,7
953,4
876,4
1366,13
1409,5
1460,9
1444,1
1365,4
996,6
975,8
1326,6
1397,10
1732,11
1694,16
1296,7
1150,12
1369,10
1430,14
1597,10
1616,10
1501,6
1456,7
